Category,Name,Portion(fl oz),Calories,Calories from fat,Total Fat(g),Saturated fat(g),Trans fat(g),Cholesterol(mg),Sodium(mg),Total Carbohydrate(g),Dietary Fiber(g),Sugars(g),Protein(g),Caffeine(mg),Size,Milk,Whipped Cream
iced-coffee,Cold Brew with Cascara Cold Foam,12.0,50,0,0.0,0.0,0.0,0,25,11,0,11,1,145,Tall,,
iced-coffee,Cold Brew with Cascara Cold Foam,16.0,80,0,0.0,0.0,0.0,0,30,17,0,17,2,190,Grande,,
iced-coffee,Cold Brew with Cascara Cold Foam,24.0,100,0,0.0,0.0,0.0,0,40,22,0,22,2,280,Venti Iced,,
iced-coffee,Cold Brew with Cascara Cold Foam,30.0,130,0,0.0,0.0,0.0,0,45,28,0,28,2,320,Trenta Iced,,
iced-coffee,Iced Coffee,30.0,160,0,0.0,0.0,0.0,0,15,40,0,39,1,280,Trenta Iced,,Sweetened
iced-coffee,Iced Coffee,30.0,5,0,0.0,0.0,0.0,0,10,0,0,0,1,330,Trenta Iced,,Unsweetened
iced-coffee,Iced Coffee,12.0,60,0,0.0,0.0,0.0,0,10,15,0,15,0,120,Tall,,Sweetened
iced-coffee,Iced Coffee,12.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,140,Tall,,Unsweetened
iced-coffee,Iced Coffee,16.0,80,0,0.0,0.0,0.0,0,10,20,0,20,0,165,Grande,,Sweetened
iced-coffee,Iced Coffee,16.0,5,0,0.0,0.0,0.0,0,5,0,0,0,0,190,Grande,,Unsweetened
iced-coffee,Iced Coffee,24.0,120,0,0.0,0.0,0.0,0,15,30,0,30,0,235,Venti Iced,,Sweetened
iced-coffee,Iced Coffee,24.0,5,0,0.0,0.0,0.0,0,10,0,0,0,0,275,Venti Iced,,Unsweetened
iced-coffee,Iced Coffee with Milk,30.0,35,20,2.5,0.0,0.0,0,75,3,1,2,1,240,Trenta Iced,Almond,Unsweetened
iced-coffee,Iced Coffee with Milk,30.0,210,25,3.0,3.0,0.0,0,70,44,0,44,1,190,Trenta Iced,Coconut,Sweetened
iced-coffee,Iced Coffee with Milk,30.0,50,25,3.0,3.0,0.0,0,60,5,0,4,1,240,Trenta Iced,Coconut,Unsweetened
iced-coffee,Iced Coffee with Milk,30.0,210,0,0.0,0.0,0.0,5,70,46,0,46,5,190,Trenta Iced,Nonfat milk,Sweetened
iced-coffee,Iced Coffee with Milk,30.0,50,0,0.0,0.0,0.0,5,65,7,0,7,5,240,Trenta Iced,Nonfat milk,Unsweetened
iced-coffee,Iced Coffee with Milk,30.0,240,40,4.5,2.5,0.0,15,75,46,0,46,5,190,Trenta Iced,Whole Milk,Sweetened
iced-coffee,Iced Coffee with Milk,30.0,90,40,4.5,2.5,0.0,15,65,7,0,7,5,240,Trenta Iced,Whole Milk,Unsweetened
iced-coffee,Iced Coffee with Milk,30.0,230,25,3.0,1.5,0.0,10,80,46,0,46,5,190,Trenta Iced,2% Milk,Sweetened
iced-coffee,Iced Coffee with Milk,30.0,70,25,3.0,1.5,0.0,10,70,7,0,7,5,240,Trenta Iced,2% Milk,Unsweetened
iced-coffee,Iced Coffee with Milk,30.0,230,20,2.0,0.0,0.0,0,65,48,1,46,4,190,Trenta Iced,Soy (United States),Sweetened
iced-coffee,Iced Coffee with Milk,30.0,70,20,2.0,0.0,0.0,0,60,9,1,7,4,240,Trenta Iced,Soy (United States),Unsweetened
iced-coffee,Iced Coffee with Milk,12.0,70,5,1.0,0.0,0.0,0,30,16,0,15,0,90,Tall,Almond,Sweetened
iced-coffee,Iced Coffee with Milk,12.0,15,5,1.0,0.0,0.0,0,30,1,0,1,0,110,Tall,Almond,Unsweetened
iced-coffee,Iced Coffee with Milk,12.0,80,10,1.0,1.0,0.0,0,25,17,0,16,0,90,Tall,Coconut,Sweetened
iced-coffee,Iced Coffee with Milk,12.0,20,10,1.0,1.0,0.0,0,20,2,0,2,0,110,Tall,Coconut,Unsweetened
iced-coffee,Iced Coffee with Milk,12.0,80,0,0.0,0.0,0.0,0,30,17,0,17,2,90,Tall,Nonfat milk,Sweetened
iced-coffee,Iced Coffee with Milk,12.0,20,0,0.0,0.0,0.0,0,25,2,0,2,2,110,Tall,Nonfat milk,Unsweetened
iced-coffee,Iced Coffee with Milk,12.0,90,15,1.5,1.0,0.0,5,30,17,0,17,2,90,Tall,Whole Milk,Sweetened
iced-coffee,Iced Coffee with Milk,12.0,30,15,1.5,1.0,0.0,5,25,2,0,2,2,110,Tall,Whole Milk,Unsweetened
iced-coffee,Iced Coffee with Milk,12.0,80,10,1.0,0.5,0.0,5,30,17,0,17,2,90,Tall,2% Milk,Sweetened
iced-coffee,Iced Coffee with Milk,12.0,25,10,1.0,0.0,0.0,5,25,2,0,2,2,110,Tall,2% Milk,Unsweetened
iced-coffee,Iced Coffee with Milk,12.0,90,5,1.0,0.0,0.0,0,25,18,0,17,2,90,Tall,Soy (United States),Sweetened
iced-coffee,Iced Coffee with Milk,12.0,25,5,1.0,0.0,0.0,0,20,3,0,2,2,110,Tall,Soy (United States),Unsweetened
iced-coffee,Iced Coffee with Milk,16.0,100,10,1.0,0.0,0.0,0,35,21,0,21,1,125,Grande,Almond,Sweetened
iced-coffee,Iced Coffee with Milk,16.0,20,10,1.0,0.0,0.0,0,40,1,0,1,1,150,Grande,Almond,Unsweetened
iced-coffee,Iced Coffee with Milk,16.0,100,15,1.5,1.5,0.0,0,35,22,0,22,0,125,Grande,Coconut,Sweetened
iced-coffee,Iced Coffee with Milk,16.0,25,15,1.5,1.5,0.0,0,30,2,0,2,0,150,Grande,Coconut,Unsweetened
iced-coffee,Iced Coffee with Milk,16.0,100,0,0.0,0.0,0.0,0,35,23,0,23,2,125,Grande,Nonfat milk,Sweetened
iced-coffee,Iced Coffee with Milk,16.0,25,0,0.0,0.0,0.0,0,30,3,0,3,2,150,Grande,Nonfat milk,Unsweetened
iced-coffee,Iced Coffee with Milk,16.0,120,20,2.0,1.0,0.0,5,35,23,0,23,2,125,Grande,Whole Milk,Sweetened
iced-coffee,Iced Coffee with Milk,16.0,40,20,2.0,1.0,0.0,5,30,3,0,3,2,150,Grande,Whole Milk,Unsweetened
iced-coffee,Iced Coffee with Milk,16.0,110,10,1.5,1.0,0.0,5,40,23,0,23,2,125,Grande,2% Milk,Sweetened
